occupation_name, career_pathway
Operating Engineers and Other Construction Equipment Operators, Construction
Painters,  Construction and Maintenance
Paperhangers, Construction
Paving,  Surfacing
Pile Driver Operators, Construction
Pipelayers, Construction
Plasterers and Stucco Masons, Construction
Plumbers,  Pipefitters
Reinforcing Iron and Rebar Workers, Construction
Riggers, Construction
Rock Splitters,  Quarry
Roof Bolters,  Mining
Roofers, Construction
Rotary Drill Operators,  Oil and Gas
Roustabouts,  Oil and Gas
Segmental Pavers, Construction
Service Unit Operators,  Oil and Gas
Sheet Metal Workers, Construction
Solar Energy Installation Managers, Construction
Solar Photovoltaic Installers, Construction
Stonemasons, Construction
Structural Iron and Steel Workers, Construction
Structural Metal Fabricators and Fitters, Construction
Tapers, Construction
Terrazzo Workers and Finishers, Construction
Tile and Stone Setters, Construction
Underground Mining Machine Operators,  All Other
Architects,  Except Landscape and Naval
Architectural and Civil Drafters, Design/Pre-Construction
Civil Engineering Technologists and Technicians, Design/Pre-Construction
Civil Engineers, Design/Pre-Construction
Cost Estimators, Design/Pre-Construction
Geodetic Surveyors, Design/Pre-Construction
Interior Designers, Design/Pre-Construction
Landscape Architects, Design/Pre-Construction
Surveying and Mapping Technicians, Design/Pre-Construction
Surveyors, Design/Pre-Construction
Transportation Engineers, Design/Pre-Construction
Boilermakers, Maintenance/Operations
Commercial Divers, Maintenance/Operations
Construction and Related Workers,  All Other
Control and Valve Installers and Repairers,  Except Mechanical Door
Electrical Power-Line Installers and Repairers, Maintenance/Operations
Elevator and Escalator Installers and Repairers, Maintenance/Operations
First-Line Supervisors of Landscaping,  Lawn Service
Grounds Maintenance Workers,  All Other
Heating,  Air Conditioning
Helpers--Installation,  Maintenance
Highway Maintenance Workers, Maintenance/Operations
Landscaping and Groundskeeping Workers, Maintenance/Operations
Mechanical Door Repairers, Maintenance/Operations
Millwrights, Maintenance/Operations
Refractory Materials Repairers,  Except Brickmasons
Septic Tank Servicers and Sewer Pipe Cleaners, Maintenance/Operations
Solar Thermal Installers and Technicians, Maintenance/Operations
Stationary Engineers and Boiler Operators, Maintenance/Operations
Weatherization Installers and Technicians, Maintenance/Operations
Audio and Video Technicians, Journalism and Broadcasting
Broadcast Announcers and Radio Disc Jockeys, Journalism and Broadcasting
Broadcast Technicians, Journalism and Broadcasting
Camera Operators,  Television
Communications Equipment Operators,  All Other
Editors, Journalism and Broadcasting
Film and Video Editors, Journalism and Broadcasting
Lighting Technicians, Journalism and Broadcasting
Media and Communication Equipment Workers,  All Other
News Analysts,  Reporters
Photographers, Journalism and Broadcasting
Poets,  Lyricists and Creative Writers
Sound Engineering Technicians, Journalism and Broadcasting
Technical Writers, Journalism and Broadcasting
Writers and Authors, Journalism and Broadcasting
Actors, Performing Arts
Agents and Business Managers of Artists,  Performers
Choreographers, Performing Arts
Costume Attendants, Performing Arts
Dancers, Performing Arts
Disc Jockeys,  Except Radio
Entertainers and Performers,  Sports and Related Workers
Makeup Artists,  Theatrical and Performance
Media and Communication Workers,  All Other
Media Programming Directors, Performing Arts
Media Technical Directors/Managers, Performing Arts
Music Directors and Composers, Performing Arts
Musicians and Singers, Performing Arts
Producers and Directors, Performing Arts
Talent Directors, Performing Arts
Desktop Publishers, Printing Technology
Prepress Technicians and Workers, Printing Technology
Print Binding and Finishing Workers, Printing Technology
Printing Press Operators, Printing Technology
Proofreaders and Copy Markers, Printing Technology
Telecommunications Equipment Installers and Repairers,  Except Line Installers
Telecommunications Line Installers and Repairers, Telecommunications
Art Directors, Visual Arts
Artists and Related Workers,  All Other
Commercial and Industrial Designers, Visual Arts
Craft Artists, Visual Arts
Designers,  All Other
Fashion Designers, Visual Arts
Fine Artists,  Including Painters
Floral Designers, Visual Arts
Graphic Designers, Visual Arts
Set and Exhibit Designers, Visual Arts
Special Effects Artists and Animators, Visual Arts
Bookkeeping,  Accounting
Computer Occupations,  All Other
Correspondence Clerks, Administrative Support
Customer Service Representatives, Administrative Support
Data Entry Keyers, Administrative Support
Executive Secretaries and Executive Administrative Assistants, Administrative Support
File Clerks, Administrative Support
First-Line Supervisors of Office and Administrative Support Workers, Administrative Support
Human Resources Assistants,  Except Payroll and Timekeeping
Information and Record Clerks,  All Other
Interviewers,  Except Eligibility and Loan
Library Assistants,  Clerical
Mail Clerks and Mail Machine Operators,  Except Postal Service
Meter Readers,  Utilities
New Accounts Clerks, Administrative Support
Office and Administrative Support Workers,  All Other
Office Clerks,  General
Office Machine Operators,  Except Computer
Order Clerks, Administrative Support
Patient Representatives, Administrative Support
Payroll and Timekeeping Clerks, Administrative Support
Postal Service Clerks, Administrative Support
Postal Service Mail Carriers, Administrative Support
Postal Service Mail Sorters,  Processors
Procurement Clerks, Administrative Support
Receptionists and Information Clerks, Administrative Support
Secretaries and Administrative Assistants,  Except Legal
Shipping,  Receiving
Stockers and Order Fillers, Administrative Support
Switchboard Operators,  Including Answering Service
Telephone Operators, Administrative Support
Word Processors and Typists, Administrative Support
Computer and Information Systems Managers, Business Information Management
Brownfield Redevelopment Specialists and Site Managers, General Management
Chief Executives, General Management
Chief Sustainability Officers, General Management
Compliance Managers, General Management
Entertainment and Recreation Managers,  Except Gambling
General and Operations Managers, General Management
Investment Fund Managers, General Management
Loss Prevention Managers, General Management
Managers,  All Other
Personal Service Managers,  All Other
Project Management Specialists, General Management; Operations Management; Information Support and Services
Regulatory Affairs Managers, General Management
Security Managers, General Management
Supply Chain Managers, General Management
Wind Energy Development Managers, General Management
Wind Energy Operations Managers, General Management
Compensation and Benefits Managers, Human Resources Management
Compensation,  Benefits
Human Resources Managers, Human Resources Management
Human Resources Specialists, Human Resources Management
Labor Relations Specialists, Human Resources Management
Training and Development Managers, Human Resources Management
Training and Development Specialists, Human Resources Management
Administrative Services Managers, Operations Management
Biofuels Production Managers, Operations Management
Biomass Power Plant Managers, Operations Management
Business Continuity Planners, Operations Management
Business Operations Specialists,  All Other
Customs Brokers, Operations Management
Energy Auditors, Operations Management
Facilities Managers, Operations Management
Fundraisers, Operations Management
Geothermal Production Managers, Operations Management
Hydroelectric Production Managers, Operations Management
Industrial Production Managers, Operations Management
Management Analysts, Operations Management
Meeting,  Convention
Online Merchants, Operations Management
Operations Research Analysts, Operations Management
Purchasing Managers, Operations Management
Quality Control Systems Managers, Operations Management
Security Management Specialists, Operations Management
Sustainability Specialists, Operations Management
Education Administrators,  All Other
Education and Childcare Administrators,  Preschool and Daycare
Fitness and Wellness Coordinators, Administration and Administrative Support
Archivists, Professional Support Services
Curators, Professional Support Services
Educational,  Guidance
Instructional Coordinators, Professional Support Services
Interpreters and Translators, Professional Support Services
Librarians and Media Collections Specialists, Professional Support Services
Library Technicians, Professional Support Services
Museum Technicians and Conservators, Professional Support Services
Adapted Physical Education Specialists, Teaching/Training
Adult Basic Education,  Adult Secondary Education
Agricultural Sciences Teachers,  Postsecondary
Anthropology and Archeology Teachers,  Postsecondary
Architecture Teachers,  Postsecondary
Area,  Ethnic
Art,  Drama
Atmospheric,  Earth
Biological Science Teachers,  Postsecondary
Business Teachers,  Postsecondary
Career/Technical Education Teachers,  Middle School
Chemistry Teachers,  Postsecondary
Coaches and Scouts, Teaching/Training
Communications Teachers,  Postsecondary
Computer Science Teachers,  Postsecondary
Criminal Justice and Law Enforcement Teachers,  Postsecondary
Economics Teachers,  Postsecondary
Education Teachers,  Postsecondary
Educational Instruction and Library Workers,  All Other
Elementary School Teachers,  Except Special Education
Engineering Teachers,  Postsecondary
English Language and Literature Teachers,  Postsecondary
Environmental Science Teachers,  Postsecondary
Family and Consumer Sciences Teachers,  Postsecondary
Farm and Home Management Educators, Teaching/Training
Foreign Language and Literature Teachers,  Postsecondary
Forestry and Conservation Science Teachers,  Postsecondary
Geography Teachers,  Postsecondary
Health Specialties Teachers,  Postsecondary
History Teachers,  Postsecondary
Kindergarten Teachers,  Except Special Education
Law Teachers,  Postsecondary
Library Science Teachers,  Postsecondary
Mathematical Science Teachers,  Postsecondary
Middle School Teachers,  Except Special and Career/Technical Education
Nursing Instructors and Teachers,  Postsecondary
Philosophy and Religion Teachers,  Postsecondary
Physics Teachers,  Postsecondary
Political Science Teachers,  Postsecondary
Postsecondary Teachers,  All Other
Preschool Teachers,  Except Special Education
Psychology Teachers,  Postsecondary
Recreation and Fitness Studies Teachers,  Postsecondary
Secondary School Teachers,  Except Special and Career/Technical Education
Self-Enrichment Teachers, Teaching/Training
Social Sciences Teachers,  Postsecondary
Social Work Teachers,  Postsecondary
Sociology Teachers,  Postsecondary
Special Education Teachers,  All Other
Substitute Teachers,  Short-Term
Teachers and Instructors,  All Other
Teaching Assistants,  All Other
Tutors, Teaching/Training
Accountants and Auditors, Accounting
Bill and Account Collectors, Banking Services
Credit Analysts, Banking Services
Credit Authorizers,  Checkers
Financial Clerks,  All Other
Loan Interviewers and Clerks, Banking Services
Loan Officers, Banking Services; Consumer Services
Tellers, Banking Services
Budget Analysts, Business Finance
Financial Managers, Business Finance
Tax Preparers, Business Finance
Treasurers and Controllers, Business Finance
Actuaries, Insurance
Claims Adjusters,  Examiners
Insurance Appraisers,  Auto Damage
Insurance Claims and Policy Processing Clerks, Insurance
Insurance Sales Agents, Insurance
Insurance Underwriters, Insurance
Brokerage Clerks, Securities & Investments
Financial and Investment Analysts, Securities & Investments; Business Finance
Financial Quantitative Analysts, Securities & Investments
Financial Risk Specialists, Securities & Investments; Business Finance
Financial Specialists,  All Other
Fraud Examiners,  Investigators and Analysts
Personal Financial Advisors, Securities & Investments
Securities,  Commodities
Aviation Inspectors, Governance
Compliance Officers, Governance
Coroners, Governance
Environmental Compliance Inspectors, Governance
Equal Opportunity Representatives and Officers, Governance
Financial Examiners, Governance
Government Property Inspectors and Investigators, Governance
Legislators, Governance
Regulatory Affairs Specialists, Governance
Transportation Inspectors, Governance
Transportation Vehicle,  Equipment and Systems Inspectors
Air Crew Members, National Security
Air Crew Officers, National Security
Aircraft Launch and Recovery Officers, National Security
Aircraft Launch and Recovery Specialists, National Security
Armored Assault Vehicle Crew Members, National Security
Armored Assault Vehicle Officers, National Security
Artillery and Missile Crew Members, National Security
Artillery and Missile Officers, National Security
Command and Control Center Officers, National Security
Command and Control Center Specialists, National Security
Engineering Technologists and Technicians,  Except Drafters
First-Line Supervisors of Air Crew Members, National Security
First-Line Supervisors of All Other Tactical Operations Specialists, National Security
First-Line Supervisors of Weapons Specialists/Crew Members, National Security
Infantry, National Security
Infantry Officers, National Security
Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,  All Other
Military Officer Special and Tactical Operations Leaders,  All Other
Special Forces, National Security
Special Forces Officers, National Security
Transportation Security Screeners, National Security
Bioinformatics Technicians, Planning
Statistical Assistants, Planning
Urban and Regional Planners, Planning; Science and Mathematics
Court,  Municipal
Eligibility Interviewers,  Government Programs
Emergency Management Directors, Public Management and Administration
Postmasters and Mail Superintendents, Public Management and Administration
Agricultural Inspectors, Regulation
Construction and Building Inspectors, Regulation
Occupational Health and Safety Specialists, Regulation
Occupational Health and Safety Technicians, Regulation
Appraisers and Assessors of Real Estate, Revenue and Taxation
Appraisers of Personal and Business Property, Revenue and Taxation
Tax Examiners and Collectors,  and Revenue Agents
Bioengineers and Biomedical Engineers, Biotechnology Research and Development; Engineering and Technology
Medical Scientists,  Except Epidemiologists
Cardiovascular Technologists and Technicians, Diagnostic Services
Cytogenetic Technologists, Diagnostic Services
Cytotechnologists, Diagnostic Services
Diagnostic Medical Sonographers, Diagnostic Services
Epidemiologists, Diagnostic Services
Histology Technicians, Diagnostic Services
Histotechnologists, Diagnostic Services
Magnetic Resonance Imaging Technologists, Diagnostic Services
Medical and Clinical Laboratory Technicians, Diagnostic Services
Medical and Clinical Laboratory Technologists, Diagnostic Services
Medical Dosimetrists, Diagnostic Services
Neurodiagnostic Technologists, Diagnostic Services
Nuclear Medicine Technologists, Diagnostic Services
Ophthalmic Medical Technologists, Diagnostic Services
Radiologic Technologists and Technicians, Diagnostic Services
Veterinary Technologists and Technicians, Diagnostic Services
Medical Records Specialists, Health Informatics
Medical Secretaries and Administrative Assistants, Health Informatics
Medical Transcriptionists, Health Informatics
Endoscopy Technicians, Support Services
Healthcare Support Workers,  All Other
Medical and Health Services Managers, Support Services
Medical Equipment Preparers, Support Services
Orderlies, Support Services
Pharmacy Aides, Support Services
Phlebotomists, Support Services
Speech-Language Pathology Assistants, Support Services
Veterinary Assistants and Laboratory Animal Caretakers, Support Services
Acupuncturists, Therapeutic Services
Acute Care Nurses, Therapeutic Services
Advanced Practice Psychiatric Nurses, Therapeutic Services
Allergists and Immunologists, Therapeutic Services
Anesthesiologist Assistants, Therapeutic Services
Anesthesiologists, Therapeutic Services
Art Therapists, Therapeutic Services
Athletic Trainers, Therapeutic Services
Audiologists, Therapeutic Services
Cardiologists, Therapeutic Services
Chiropractors, Therapeutic Services
Clinical Nurse Specialists, Therapeutic Services
Critical Care Nurses, Therapeutic Services
Dental Assistants, Therapeutic Services
Dental Hygienists, Therapeutic Services
Dentists,  All Other Specialists
Dermatologists, Therapeutic Services
Dietetic Technicians, Therapeutic Services
Dietitians and Nutritionists, Therapeutic Services
Emergency Medicine Physicians, Therapeutic Services
Exercise Physiologists, Therapeutic Services
Family Medicine Physicians, Therapeutic Services
General Internal Medicine Physicians, Therapeutic Services
Genetic Counselors, Therapeutic Services
Health Information Technologists and Medical Registrars, Therapeutic Services; Health Informatics
Health Technologists and Technicians,  All Other
Healthcare Diagnosing or Treating Practitioners,  All Other
Healthcare Practitioners and Technical Workers,  All Other
Hearing Aid Specialists, Therapeutic Services
Home Health Aides, Therapeutic Services
Hospitalists, Therapeutic Services
Licensed Practical and Licensed Vocational Nurses, Therapeutic Services
Low Vision Therapists,  Orientation and Mobility Specialists
Medical Assistants, Therapeutic Services
Midwives, Therapeutic Services
Music Therapists, Therapeutic Services
Naturopathic Physicians, Therapeutic Services
Neurologists, Therapeutic Services
Nurse Anesthetists, Therapeutic Services
Nurse Midwives, Therapeutic Services
Nurse Practitioners, Therapeutic Services
Nursing Assistants, Therapeutic Services
Obstetricians and Gynecologists, Therapeutic Services
Occupational Therapists, Therapeutic Services
Occupational Therapy Aides, Therapeutic Services
Occupational Therapy Assistants, Therapeutic Services
Ophthalmic Medical Technicians, Therapeutic Services
Ophthalmologists,  Except Pediatric
Opticians,  Dispensing
Optometrists, Therapeutic Services
Oral and Maxillofacial Surgeons, Therapeutic Services
Orthodontists, Therapeutic Services
Orthopedic Surgeons,  Except Pediatric
Orthoptists, Therapeutic Services
Orthotists and Prosthetists, Therapeutic Services
Pediatric Surgeons, Therapeutic Services
Pediatricians,  General
Pharmacists, Therapeutic Services
Pharmacy Technicians, Therapeutic Services
Physical Medicine and Rehabilitation Physicians, Therapeutic Services
Physical Therapist Aides, Therapeutic Services
Physical Therapist Assistants, Therapeutic Services
Physical Therapists, Therapeutic Services
Physician Assistants, Therapeutic Services
Physicians,  All Other
Podiatrists, Therapeutic Services
Preventive Medicine Physicians, Therapeutic Services
Prosthodontists, Therapeutic Services
Psychiatric Aides, Therapeutic Services
Psychiatric Technicians, Therapeutic Services
Psychiatrists, Therapeutic Services
Radiation Therapists, Therapeutic Services
Radiologists, Therapeutic Services
Recreational Therapists, Therapeutic Services
Registered Nurses, Therapeutic Services
Respiratory Therapists, Therapeutic Services
Speech-Language Pathologists, Therapeutic Services
Sports Medicine Physicians, Therapeutic Services
Surgeons,  All Other
Surgical Assistants, Therapeutic Services; Diagnostic Services
Surgical Technologists, Therapeutic Services
Therapists,  All Other
Urologists, Therapeutic Services
Veterinarians, Therapeutic Services
Baggage Porters and Bellhops, Lodging
Building Cleaning Workers,  All Other
Concierges, Lodging
First-Line Supervisors of Housekeeping and Janitorial Workers, Lodging
Hotel,  Motel
Janitors and Cleaners,  Except Maids and Housekeeping Cleaners
Lodging Managers, Lodging
Maids and Housekeeping Cleaners, Lodging
Amusement and Recreation Attendants, Recreation
Animal Trainers, Recreation
Athletes and Sports Competitors, Recreation
Entertainment Attendants and Related Workers,  All Other
First-Line Supervisors of Gambling Services Workers, Recreation
Gambling and Sports Book Writers and Runners, Recreation
Gambling Cage Workers, Recreation
Gambling Change Persons and Booth Cashiers, Recreation
Gambling Dealers, Recreation
Gambling Managers, Recreation
Gambling Service Workers,  All Other
Motion Picture Projectionists, Recreation
Recreation Workers, Recreation
Umpires,  Referees
Ushers,  Lobby Attendants
Bakers, Restaurants and Food/Beverage Services
Baristas, Restaurants and Food/Beverage Services
Bartenders, Restaurants and Food/Beverage Services
Chefs and Head Cooks, Restaurants and Food/Beverage Services
Cooks,  All Other
Dining Room and Cafeteria Attendants and Bartender Helpers, Restaurants and Food/Beverage Services
Dishwashers, Restaurants and Food/Beverage Services
Fast Food and Counter Workers, Restaurants and Food/Beverage Services
First-Line Supervisors of Food Preparation and Serving Workers, Restaurants and Food/Beverage Services
Food Preparation and Serving Related Workers,  All Other
Food Preparation Workers, Restaurants and Food/Beverage Services
Food Servers,  Nonrestaurant
Food Service Managers, Restaurants and Food/Beverage Services
Hosts and Hostesses,  Restaurant
Waiters and Waitresses, Restaurants and Food/Beverage Services
Reservation and Transportation Ticket Agents and Travel Clerks, Travel & Tourism
Tour Guides and Escorts, Travel & Tourism
Travel Agents, Travel & Tourism
Travel Guides, Travel & Tourism
Credit Counselors, Consumer Services
Clinical and Counseling Psychologists, Counseling & Mental Health Services
Clinical Neuropsychologists, Counseling & Mental Health Services
Counselors,  All Other
Industrial-Organizational Psychologists, Counseling & Mental Health Services
Marriage and Family Therapists, Counseling & Mental Health Services
Mental Health and Substance Abuse Social Workers, Counseling & Mental Health Services
Mental Health Counselors, Counseling & Mental Health Services
Neuropsychologists, Counseling & Mental Health Services
Psychologists,  All Other
Rehabilitation Counselors, Counseling & Mental Health Services
School Psychologists, Counseling & Mental Health Services
Substance Abuse and Behavioral Disorder Counselors, Counseling & Mental Health Services
Childcare Workers, Early Childhood Development & Services
Nannies, Early Childhood Development & Services
Child,  Family
Clergy, Family & Community Services
Community and Social Service Specialists,  All Other
Community Health Workers, Family & Community Services
Directors,  Religious Activities and Education
Health Education Specialists, Family & Community Services
Healthcare Social Workers, Family & Community Services
Religious Workers,  All Other
Social and Community Service Managers, Family & Community Services
Social and Human Service Assistants, Family & Community Services
Social Workers,  All Other
Barbers, Personal Care Services
Crematory Operators, Personal Care Services
Embalmers, Personal Care Services
Exercise Trainers and Group Fitness Instructors, Personal Care Services
First-Line Supervisors of Entertainment and Recreation Workers,  Except Gambling Services
First-Line Supervisors of Passenger Attendants, Personal Care Services; Transportation Operations
First-Line Supervisors of Personal Service Workers, Personal Care Services
Funeral Attendants, Personal Care Services
Funeral Home Managers, Personal Care Services
Hairdressers,  Hairstylists
Laundry and Dry-Cleaning Workers, Personal Care Services
Locker Room,  Coatroom
Manicurists and Pedicurists, Personal Care Services
Massage Therapists, Personal Care Services
Morticians,  Undertakers
Personal Care Aides, Personal Care Services
Personal Care and Service Workers,  All Other
Pressers,  Textile
Residential Advisors, Personal Care Services
Shampooers, Personal Care Services
Skincare Specialists, Personal Care Services
Spa Managers, Personal Care Services
Tailors,  Dressmakers
Business Intelligence Analysts, Information Support and Services
Computer Systems Engineers/Architects, Information Support and Services
Computer User Support Specialists, Information Support and Services
Data Warehousing Specialists, Information Support and Services
Document Management Specialists, Information Support and Services
Geographic Information Systems Technologists and Technicians, Information Support and Services
Information Technology Project Managers, Information Support and Services
Search Marketing Strategists, Information Support and Services
Software Quality Assurance Analysts and Testers, Information Support and Services; Programming and Software Development
Video Game Designers, Information Support and Services
Web Administrators, Information Support and Services
Web and Digital Interface Designers, Information Support and Services; Web and Digital Communications
Computer Network Architects, Network Systems
Computer Network Support Specialists, Network Systems
Database Administrators, Network Systems
Database Architects, Network Systems; Information Support and Services
Information Security Analysts, Network Systems
Network and Computer Systems Administrators, Network Systems
Telecommunications Engineering Specialists, Network Systems
Computer Programmers, Programming and Software Development
Computer Systems Analysts, Programming and Software Development
Health Informatics Specialists, Programming and Software Development
Software Developers, Programming and Software Development
Web Developers, Web and Digital Communications
Correctional Officers and Jailers, Correction Services
First-Line Supervisors of Correctional Officers, Correction Services
Probation Officers and Correctional Treatment Specialists, Correction Services
Emergency Medical Technicians, Emergency and Fire Management Services
Fire Inspectors and Investigators, Emergency and Fire Management Services
Firefighters, Emergency and Fire Management Services
First-Line Supervisors of Firefighting and Prevention Workers, Emergency and Fire Management Services
Forest Fire Inspectors and Prevention Specialists, Emergency and Fire Management Services
Paramedics, Emergency and Fire Management Services
Public Safety Telecommunicators, Emergency and Fire Management Services
Animal Control Workers, Law Enforcement Services
Customs and Border Protection Officers, Law Enforcement Services
Detectives and Criminal Investigators, Law Enforcement Services
First-Line Supervisors of Police and Detectives, Law Enforcement Services
Fish and Game Wardens, Law Enforcement Services
Forensic Science Technicians, Law Enforcement Services
Intelligence Analysts, Law Enforcement Services
Parking Enforcement Workers, Law Enforcement Services
Police and Sheriff's Patrol Officers, Law Enforcement Services
Police Identification and Records Officers, Law Enforcement Services
Private Detectives and Investigators, Law Enforcement Services
Transit and Railroad Police, Law Enforcement Services
Administrative Law Judges,  Adjudicators
Arbitrators,  Mediators
Court Reporters and Simultaneous Captioners, Legal Services
Judges,  Magistrate Judges
Judicial Law Clerks, Legal Services
Lawyers, Legal Services
Legal Secretaries and Administrative Assistants, Legal Services
Legal Support Workers,  All Other
Paralegals and Legal Assistants, Legal Services
Title Examiners,  Abstractors
Bailiffs, Security & Protective Services
Crossing Guards and Flaggers, Security & Protective Services
First-Line Supervisors of Protective Service Workers,  All Other
First-Line Supervisors of Security Workers, Security & Protective Services
Gambling Surveillance Officers and Gambling Investigators, Security & Protective Services
Lifeguards,  Ski Patrol
Protective Service Workers,  All Other
Retail Loss Prevention Specialists, Security & Protective Services
School Bus Monitors, Security & Protective Services
Security Guards, Security & Protective Services
Audiovisual Equipment Installers and Repairers, Maintenance
Camera and Photographic Equipment Repairers, Maintenance
Coin,  Vending
Computer,  Automated Teller
Electric Motor,  Power Tool
Electrical and Electronics Repairers,  Commercial and Industrial Equipment
First-Line Supervisors of Mechanics,  Installers
Geothermal Technicians, Maintenance
Home Appliance Repairers, Maintenance
Industrial Machinery Mechanics, Maintenance
Installation,  Maintenance
Locksmiths and Safe Repairers, Maintenance
Maintenance and Repair Workers,  General
Maintenance Workers,  Machinery
Medical Appliance Technicians, Maintenance
Medical Equipment Repairers, Maintenance
Musical Instrument Repairers and Tuners, Maintenance
Outdoor Power Equipment and Other Small Engine Mechanics, Maintenance
Precision Instrument and Equipment Repairers,  All Other
Radio,  Cellular
Security and Fire Alarm Systems Installers, Maintenance
Watch and Clock Repairers, Maintenance
Wind Turbine Service Technicians, Maintenance
Aerospace Engineering and Operations Technologists and Technicians, Manufacturing Production Process Development
Automotive Engineering Technicians, Manufacturing Production Process Development
Calibration Technologists and Technicians, Manufacturing Production Process Development
Chemical Technicians, Manufacturing Production Process Development
Drafters,  All Other
Electrical and Electronic Engineering Technologists and Technicians, Manufacturing Production Process Development
Electrical and Electronics Drafters, Manufacturing Production Process Development
Electro-Mechanical and Mechatronics Technologists and Technicians, Manufacturing Production Process Development
Industrial Engineering Technologists and Technicians, Manufacturing Production Process Development
Mechanical Drafters, Manufacturing Production Process Development
Mechanical Engineering Technologists and Technicians, Manufacturing Production Process Development
Nanotechnology Engineering Technologists and Technicians, Manufacturing Production Process Development
Non-Destructive Testing Specialists, Manufacturing Production Process Development
Nuclear Monitoring Technicians, Manufacturing Production Process Development
Nuclear Technicians, Manufacturing Production Process Development
Photonics Technicians, Manufacturing Production Process Development
Purchasing Agents,  Except Wholesale
Robotics Technicians, Manufacturing Production Process Development
Adhesive Bonding Machine Operators and Tenders, Production
Aircraft Structure,  Surfaces
Assemblers and Fabricators,  All Other
Biofuels Processing Technicians, Production
Biomass Plant Technicians, Production
Butchers and Meat Cutters, Production
Cabinetmakers and Bench Carpenters, Production
Chemical Equipment Operators and Tenders, Production
Chemical Plant and System Operators, Production
Cleaning,  Washing
Coating,  Painting
Coil Winders,  Tapers
Computer Numerically Controlled Tool Operators, Production
Computer Numerically Controlled Tool Programmers, Production
Cooling and Freezing Equipment Operators and Tenders, Production
Crushing,  Grinding
Cutters and Trimmers,  Hand
Cutting and Slicing Machine Setters,  Operators
Cutting,  Punching
Dental Laboratory Technicians, Production
Drilling and Boring Machine Tool Setters,  Operators
Electrical and Electronic Equipment Assemblers, Production
Electromechanical Equipment Assemblers, Production
Engine and Other Machine Assemblers, Production
Etchers and Engravers, Production
Extruding and Drawing Machine Setters,  Operators
Extruding and Forming Machine Setters,  Operators
Extruding,  Forming
Fabric and Apparel Patternmakers, Production
Fiberglass Laminators and Fabricators, Production
First-Line Supervisors of Production and Operating Workers, Production
Food and Tobacco Roasting,  Baking
Food Batchmakers, Production
